rank	gene	degree
110	ENSMUSG00000056328	158
111	ENSMUSG00000028195	157
112	ENSMUSG00000017002	157
113	ENSMUSG00000032532	157
114	ENSMUSG00000025316	156
115	ENSMUSG00000022583	155
116	ENSMUSG00000023046	155
117	ENSMUSG00000029700	155
118	ENSMUSG00000079017	155
119	ENSMUSG00000028003	155
120	ENSMUSG00000005220	155
121	ENSMUSG00000005547	154
122	ENSMUSG00000074179	154
123	ENSMUSG00000023034	154
124	ENSMUSG00000089774	154
125	ENSMUSG00000107928	153
126	ENSMUSG00000063681	153
127	ENSMUSG00000019577	153
128	ENSMUSG00000024411	153
129	ENSMUSG00000098934	153
130	ENSMUSG00000091021	152
131	ENSMUSG00000005268	152
132	ENSMUSG00000061100	152
133	ENSMUSG00000030268	152
134	ENSMUSG00000030249	152
135	ENSMUSG00000026043	151
136	ENSMUSG00000054052	150
137	ENSMUSG00000010651	150
138	ENSMUSG00000048583	150
139	ENSMUSG00002075983	150
140	ENSMUSG00000071177	149
141	ENSMUSG00000110631	148
142	ENSMUSG00000042745	148
143	ENSMUSG00000071178	148
144	ENSMUSG00000083405	147
145	ENSMUSG00000030935	147
146	ENSMUSG00000022026	146
147	ENSMUSG00000015981	146
148	ENSMUSG00000016942	146
149	ENSMUSG00000024011	145
150	ENSMUSG00000074768	144
151	ENSMUSG00000079105	144
152	ENSMUSG00000027360	144
153	ENSMUSG00000078597	144
154	ENSMUSG00002076809	143
155	ENSMUSG00000091694	143
156	ENSMUSG00000023036	142
157	ENSMUSG00000005980	142
158	ENSMUSG00000038393	142
159	ENSMUSG00000037071	141
160	ENSMUSG00000027840	141
161	ENSMUSG00000028571	140
162	ENSMUSG00000038224	140
163	ENSMUSG00000021250	140
164	ENSMUSG00000053279	140
165	ENSMUSG00000034457	139
166	ENSMUSG00000017724	139
167	ENSMUSG00000037548	139
168	ENSMUSG00000047586	139
169	ENSMUSG00000116207	139
170	ENSMUSG00000119838	139
171	ENSMUSG00000043496	139
172	ENSMUSG00000021125	138
173	ENSMUSG00000023886	138
174	ENSMUSG00000052837	138
175	ENSMUSG00000034739	138
176	ENSMUSG00000056973	138
177	ENSMUSG00000026435	138
178	ENSMUSG00000100426	137
179	ENSMUSG00000089960	137
180	ENSMUSG00000001349	137
181	ENSMUSG00000033453	137
182	ENSMUSG00000048489	137
183	ENSMUSG00000072949	137
184	ENSMUSG00000024164	136
185	ENSMUSG00002076451	136
186	ENSMUSG00000039236	136
187	ENSMUSG00000001506	136
188	ENSMUSG00000077323	135
189	ENSMUSG00000038418	135
190	ENSMUSG00000064220	135
191	ENSMUSG00000112478	135
192	ENSMUSG00000015568	135
193	ENSMUSG00000079363	135
194	ENSMUSG00000030256	134
195	ENSMUSG00000022372	133
196	ENSMUSG00000022546	133
197	ENSMUSG00000021025	132
198	ENSMUSG00000019768	132
199	ENSMUSG00000067149	132
200	ENSMUSG00000047379	130
201	ENSMUSG00000100862	130
202	ENSMUSG00000093701	129
